student_id,join_ts,country_code,acquisition_channel,persona,first_subject
4670487,2026-02-17 09:43:33.608,ES,WoM,exam_prepper,spanish
4116739,2025-05-14 10:32:58.884,PL,CRM,conversationalist,english
4026225,2025-06-07 16:22:33.203,JP,CRM,working_professional,spanish
4777572,2026-01-30 14:39:34.664,US,Direct & Brand,conversationalist,spanish
4288389,2025-10-05 04:21:53.573,AR,Paid,relocator,english
4256787,2025-08-21 15:41:13.124,MX,Paid,conversationalist,english
4234053,2025-12-21 14:30:15.209,IT,Direct & Brand,working_professional,english
4146316,2025-11-19 08:29:13.847,ES,Paid,relocator,english
4772246,2025-12-09 11:08:48.464,ES,Direct & Brand,working_professional,english
4107473,2025-12-29 20:03:18.502,AR,WoM,conversationalist,portuguese
4709570,2025-08-05 05:46:20.145,US,Paid,relocator,english
4776646,2025-11-06 21:25:32.721,UK,Paid,conversationalist,english
4935518,2025-10-12 03:43:30.916,ES,Paid,working_professional,english
4571858,2025-12-05 11:23:02.809,UK,Direct & Brand,working_professional,spanish
4091161,2025-11-04 06:17:52.959,SE,Direct & Brand,working_professional,portuguese
4619176,2025-08-12 13:35:23.759,MX,Paid,conversationalist,english
4442417,2026-01-26 13:51:30.656,DE,Paid,relocator,english
4033326,2025-12-15 11:39:47.862,NL,Direct & Brand,conversationalist,english
4031244,2025-10-21 08:52:01.446,ES,Direct & Brand,relocator,spanish
4098246,2025-09-05 01:40:01.787,FR,Paid,exam_prepper,portuguese
4229258,2026-01-03 22:37:30.409,US,Direct & Brand,conversationalist,german
4243962,2025-09-19 22:36:44.840,US,Paid,working_professional,english
4529903,2025-11-25 04:58:30.774,PL,CRM,working_professional,english
4631262,2025-12-13 02:30:33.146,ES,Other,conversationalist,english
4027824,2025-09-20 00:43:41.100,IT,Paid,conversationalist,portuguese
4588508,2025-12-19 14:49:18.318,BR,Direct & Brand,conversationalist,english
4208496,2025-06-07 00:17:18.863,US,Direct & Brand,working_professional,portuguese
4750800,2025-05-24 19:18:02.152,ES,CRM,working_professional,english
4681453,2025-11-10 17:52:34.223,US,Direct & Brand,working_professional,english
4735392,2025-12-31 22:42:57.690,DE,Direct & Brand,working_professional,english
4571412,2026-02-07 19:00:35.125,SE,Paid,exam_prepper,italian
4439898,2025-09-27 14:20:18.064,BR,WoM,working_professional,spanish
4231148,2025-09-06 22:58:58.666,US,WoM,working_professional,italian
4471029,2025-11-28 08:11:59.894,MX,WoM,working_professional,english
4617889,2025-10-10 13:18:29.547,SE,Direct & Brand,conversationalist,italian
4291704,2025-11-13 17:51:07.077,ES,CRM,conversationalist,french
4848749,2025-12-11 14:36:43.981,MX,Paid,relocator,italian
4911527,2025-11-01 21:25:42.982,US,Other,conversationalist,italian
4006814,2025-12-01 09:48:17.708,TR,Paid,exam_prepper,english
4795667,2025-09-15 22:42:07.922,UK,Paid,exam_prepper,italian
4844962,2025-08-21 01:07:40.975,JP,Paid,conversationalist,english
4167414,2026-01-22 00:38:23.044,UK,Direct & Brand,conversationalist,english
4732052,2026-01-05 16:43:48.305,FR,CRM,conversationalist,english
4443143,2025-06-18 20:03:53.489,DE,Direct & Brand,conversationalist,english
4356778,2025-10-31 20:43:13.199,MX,Direct & Brand,relocator,english
4291369,2026-01-28 10:29:36.105,US,Direct & Brand,exam_prepper,french
4163032,2025-08-04 00:13:37.957,US,Paid,exam_prepper,english
4225772,2025-06-30 08:02:18.651,UK,CRM,exam_prepper,portuguese
4800581,2025-11-23 11:28:55.099,JP,Paid,working_professional,portuguese
4352944,2026-01-28 12:07:11.873,AU,Paid,working_professional,portuguese
